Company,Acquisition Year,Acquisition Month,Acquired Company,Business,Country,Acquisition Price
Amazon,2014,Dec,GoodGame,?,United States,?
Amazon,2015,Jan,Annapurna Labs,?,Israel,"350,000,000.00"
Amazon,2015,Mar,2lemetry,?,United States,?
Amazon,2015,Apr,Shoefitr,?,United States,?
Amazon,2015,Apr,ClusterK,?,United States,"35,000,000.00"
Amazon,2015,Jul,AppThwack,?,United States,?
Amazon,2015,Sep,Elemental Technologies,?,United States,"500,000,000.00"
Amazon,2015,Sep,Safaba Translation Systems,?,United States,?
Amazon,2015,Sep,Biba Systems,?,United States,?
Amazon,2015,Dec,Orbeus,?,United States,?
Amazon,2016,Jan,Colis Prive,?,France,?
Amazon,2016,Feb,NICE,?,Italy,?
Amazon,2016,Feb,Emvantage Payments,?,India,?
Amazon,2016,Jul,Cloud9 IDE,?,United States,?
Amazon,2016,Aug,"Curse, Inc.",?,United States,?
Amazon,2016,Oct,Westland,?,India,?
Amazon,2016,Nov,Partpic,?,United States,?
Amazon,2017,Jan,harvest.ai,?,United States,"20,000,000.00"
Amazon,2017,Mar,Thinkbox Software,?,United States,?
Amazon,2017,Mar,Do.com,?,United States,?
Amazon,2017,Jun,Whole Foods Market,?,United States,"13,700,000,000.00"
Amazon,2017,Jul,Souq.com,?,United Arab Emirates,"580,000,000.00"
Amazon,2017,Jul,Graphiq,?,United States,"50,000,000.00"
Amazon,2017,Jul,GameSparks,?,United Kingdom,"10,000,000.00"
Amazon,2017,Sep,Wing.ae,?,United Arab Emirates,?
Amazon,2017,Oct,Body Labs,?,United States,"60,000,000.00"
Amazon,2017,Nov,Goo Technologies,?,United States,?
Amazon,2017,Nov,Dispatch,?,United States,?
Amazon,2017,Dec,Blink Home,?,United States,"90,000,000.00"
Amazon,2018,Jan,Sqrrl,?,United States,"40,000,000.00"
Amazon,2018,Feb,Ring,?,United States,"839,000,000.00"
Amazon,2018,Jun,PillPack,?,United States,"753,000,000.00"
Amazon,2018,Aug,Tapzo,?,India,"40,000,000.00"
Amazon,2019,Jan,CloudEndure,?,Israel,"250,000,000.00"
Amazon,2019,Jan,TSO Logic,?,Canada,?
Amazon,2019,Feb,Eero,?,United States,"97,000,000.00"
Amazon,2019,Apr,Canvas Technology,?,United States,?
Amazon,2019,May,Sizmek Ad Server and Sizmek Dynamic Creative Optimization,?,United States,?
Amazon,2019,Jun,Bebo,?,United States,"25,000,000.00"
Amazon,2019,Jul,E8 Storage,?,Israel,?
